ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,January,February,March,April,May,June,July,August,September,October,November,December,Seasons Count,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly Org,Child friendly,Snowparks Org,Snowparks,Nightskiing Org,Nightskiing,Summer skiing Org,Summer skiing
93,Snowbasin,41.216317,-111.857428,United States,North America,85,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2850,1950,5,28,15,48,5,400,2,6,3,11,17026,Yes,1,Yes,1,No,0,No,0
94,Beaver Creek,39.6048786,-106.5150017,United States,North America,141,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,3488,2255,28,64,57,149,4,0,8,13,3,24,38200,Yes,1,Yes,1,No,0,No,0
95,Glencoe Mountain,56.68154175,-5.10644312,United Kingdom,Europe,35,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1070,360,7,10,7,24,0,0,6,2,0,8,5800,Yes,1,No,0,No,0,No,0
96,Sölden,46.9673961,11.0070193,Austria,Europe,53,September - May,1,1,1,1,1,0,0,0,1,1,1,1,1,3340,1350,70,44,29,143,15,363,12,16,8,36,70370,Yes,1,Yes,1,Yes,1,No,0
97,Kuühtai,47.212049,11.017326,Austria,Europe,37,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,2520,1938,6,26,8,40,4,80,6,5,1,12,17254,Yes,1,Yes,1,Yes,1,No,0
98,Breckenridge,32.7558392,-98.9032554,United States,North America,140,November - April,1,1,1,1,0,0,0,0,0,0,1,1,1,3914,2926,28,60,65,153,5,0,15,18,1,34,43880,Yes,1,Yes,1,No,0,No,0
99,Obertauern,47.2494362,13.5569603,Austria,Europe,46,November - May,1,1,1,1,1,0,0,0,0,0,1,1,1,2313,1630,61,35,4,100,5,280,11,18,2,31,50797,Yes,1,Yes,1,Yes,1,No,0
100,Elfer Neustift,47.1064691,11.3079828,Austria,Europe,29,December - March,1,1,1,0,0,0,0,0,0,0,0,1,1,2080,981,0,7,0,7,5,0,3,0,1,4,2980,Yes,1,No,0,No,0,No,0
101,Serfaus-Fiss-Ladis,47.0530324,10.61913705,Austria,Europe,49,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,2820,1200,47,123,28,198,10,1250,40,16,12,68,78460,Yes,1,Yes,1,Yes,1,No,0
102,Hochkonig-Maria Alm/Dienten/Muhlbach,47.38650655,12.95641323,Austria,Europe,52,December - April,1,1,1,1,0,0,0,0,0,0,0,1,1,1900,800,52,41,19,112,9,520,21,9,5,35,49232,Yes,1,Yes,1,Yes,1,No,0
